Company,Price,Price Extended Hours,P/E,Market Cap,Ticker,Open,Previous Close,52 Wk High,52 Wk Low,Industry,Shares Outstanding,Volume,Volume Average,Change,Change %,Change % Extended Hours,Change Extended Hours,Date
,179.01,180.82,14.5045,114410446488.0,LOW,179.4,177.94,263.31,176.3,Specialty Retailers,639128800.0,4127799.0,4071263.0,1.07,0.006012999999999999,0.010111000000000002,1.81,2022-06-24
,453.64,459.395,14.0614,62926672600.0,LRCX,449.77,449.77,731.8492,442.53,Semiconductors & Semiconductor Equipment,138715000.0,1566079.0,1276573.0,3.87,0.008604,0.012686,5.755,2022-06-24
,10.5,10.57,5.1362,10940060000.0,LUMN,10.61,10.59,14.945,9.31,Telecommunications Services,1033055000.0,12755569.0,12648469.0,-0.09,-0.008499,0.006666999999999999,0.07,2022-06-24
,37.23,37.5,39.4602,22075766772.0,LUV,37.67,37.22,57.85,36.455,Passenger Transportation Services,592956400.0,7937586.0,4882214.0,0.01,0.0002687,0.007252,0.27,2022-06-24
,32.64,32.88,0.0,24940521024.0,LVS,32.55,32.27,55.6,28.875,Hotels & Entertainment Services,764109100.0,7189465.0,7133177.0,0.37,0.011466,0.007352999999999999,0.24,2022-06-24
,65.12,65.12,40.0202,9406382128.0,LW,64.8,64.15,83.97,49.71,Food & Tobacco,144446900.0,933414.0,1029628.0,0.97,0.015121,0.0,0.0,2022-06-24
,96.14,96.82,5.5382,31497559852.0,LYB,98.21,97.48,112.53,80.3723,Chemicals,327621800.0,2231299.0,2728877.0,-1.34,-0.013746000000000001,0.007073,0.68,2022-06-24
,86.68,87.25,0.0,19768578852.0,LYV,85.5,84.94,127.75,74.23,Media & Publishing,228063900.0,1589051.0,2397046.0,1.74,0.020485000000000003,0.006575999999999999,0.57,2022-06-24
,325.39,329.0,33.5226,316488858933.0,MA,327.41,322.14,399.92,305.605,Software & IT Services,972644700.0,2357895.0,3129444.0,3.25,0.010088999999999999,0.011094,3.61,2022-06-24
,162.41,163.1,31.0653,18746596516.0,MAA,161.31,160.03,231.63,158.855,Residential & Commercial REIT,115427600.0,803256.0,709039.0,2.38,0.014872000000000002,0.004249,0.69,2022-06-24
,154.8,159.19,33.7412,50665776840.0,MAR,154.76,152.22,195.9,127.23,Hotels & Entertainment Services,327298300.0,2051178.0,2375716.0,2.58,0.016949000000000002,0.028359000000000002,4.39,2022-06-24
,50.95,50.95,22.8491,12021163380.0,MAS,51.44,51.21,71.055,48.78,Homebuilding & Construction Supplies,235940400.0,2628667.0,2231752.0,-0.26,-0.005077000000000001,0.0,0.0,2022-06-24
